"table.x","first_id","desc","category","label","format","year"
"ACTPROF","NATPROF","Nature de l'actif professionnel",74,"Fonds de commerce clientèles, droits au bail, études, non exploités par le ménage","Categorical",1998
"ACTPROF","NATPROF","Nature de l'actif professionnel",75,"Matériel, non exploité par le ménage","Categorical",1998
"ACTPROF","NATPROF","Nature de l'actif professionnel",81,"Bâtiments, locaux, exploités par le ménage","Categorical",1998
"ACTPROF","NATPROF","Nature de l'actif professionnel",82,"Cheptel, exploité par le ménage","Categorical",1998
"ACTPROF","NATPROF","Nature de l'actif professionnel",83,"Stocks, exploités par le ménage","Categorical",1998
"ACTPROF","NATPROF","Nature de l'actif professionnel",84,"Fonds de commerce clientèles, droits au bail, études, exploités par le ménage","Categorical",1998
"ACTPROF","NATPROF","Nature de l'actif professionnel",85,"Matériel, exploité par le ménage","Categorical",1998
"ACTPROF","NATPROF","Nature de l'actif professionnel",91,"Terrains à bâtir viabilisés, exploités, détenus en partie par le ménage","Categorical",1998
"ACTPROF","NATPROF","Nature de l'actif professionnel",92,"Terres labourables ou prairies, exploitées, détenues en partie par le ménage","Categorical",1998
"ACTPROF","NATPROF","Nature de l'actif professionnel",93,"Vignes ou vergers, exploités, détenus en partie par le ménage","Categorical",1998
"ACTPROF","NATPROF","Nature de l'actif professionnel",94,"Forêts, bois, peupleraies, exploités, détenus en partie par le ménage","Categorical",1998
"ACTPROF","NATPROF","Nature de l'actif professionnel",95,"Autres terrains non bâtis (landes, maquis), exploités, détenus en partie par le ménage","Categorical",1998
"ACTPROF","NATPROF","Nature de l'actif professionnel",96,"Autres terrains bâtis, exploités, détenus en partie par le ménage","Categorical",1998
"ACTPROF","NPOIDS","Pondération unitaire",NA,NA,"Categorical",1998
"ACTPROF","NXLOC","Actif professionnel non exploité donné en location au moins en partie",1,"Oui","Categorical",1998
"ACTPROF","NXLOC","Actif professionnel non exploité donné en location au moins en partie",2,"Non","Categorical",1998
"ACTPROF","NXTIE","Propriétaires hors ménage des actifs professionnels non exploités",1,"Oui","Categorical",1998
"ACTPROF","NXTIE","Propriétaires hors ménage des actifs professionnels non exploités",2,"Non","Categorical",1998
"ACTPROF","POND","Pondération extrapolée",NA,NA,"Categorical",1998
"ACTPROF","PROFAU","Part du montant de l'actif professionnel revenant aux autres personnes du ménage",NA,NA,"Numerical",1998
"ACTPROF","PROFCJ","Part du montant de l'actif professionnel revenant au conjoint",NA,NA,"Numerical",1998
"ACTPROF","PROFHM","Part du montant de l'actif professionnel revenant aux personnes hors ménage",NA,NA,"Numerical",1998
"ACTPROF","PROFMAX","Valeur maximale des actifs professionnels (déclarée)",NA,NA,"Numerical",1998
"ACTPROF","PROFMIN","Valeur minimale des actifs professionnels (déclarée)",NA,NA,"Numerical",1998
"ACTPROF","PROFPR","Part du montant de l'actif professionnel revenant à la personne de référence",NA,NA,"Numerical",1998
"ACTPROF","PROFSUHA","Surface en hectares des terres",NA,NA,"Numerical",1998
"ACTPROF","SIMPROF","Valeur simulée du bien professionnel, total",NA,NA,"Numerical",1998
"ACTPROF","SIMPROFM","Valeur simulée du bien professionnel, part du ménage",NA,NA,"Numerical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",1,"Ain","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",2,"Aisne","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",3,"Allier","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",4,"Alpes de Haute Provence","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",5,"Hautes Alpes","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",6,"Alpes Maritimes","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",7,"Ardèche","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",8,"Ardennes","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",9,"Ariège","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",10,"Aube","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",11,"Aude","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",12,"Aveyron","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",13,"Bouches du Rhône","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",14,"Calvados","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",15,"Cantal","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",16,"Charente","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",17,"Charente Maritime","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",18,"Cher","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",19,"Corrèze","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",20,"Corse","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",21,"Côte d'Or","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",22,"Côtes du Nord","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",23,"Creuse","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",24,"Dordogne","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",25,"Doubs","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",26,"Drôme","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",27,"Eure","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",28,"Eure et Loir","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",29,"Finistère","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",30,"Gard","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",31,"Haute Garonne","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",32,"Gers","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",33,"Gironde","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",34,"Hérault","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",35,"Ille et Vilaine","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",36,"Indre","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",37,"Indre et Loire","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",38,"Isère","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",39,"Jura","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",40,"Landes","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",41,"Loir et Cher","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",42,"Loire","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",43,"Haute Loire","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",44,"Loire Atlantique","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",45,"Loiret","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",46,"Lot","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",47,"Lot et Garonne","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",48,"Lozère","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",49,"Maine et Loire","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",50,"Manche","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",51,"Marne","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",52,"Haute Marne","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",53,"Mayenne","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",54,"Meurthe et Moselle","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",55,"Meuse","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",56,"Morbihan","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",57,"Moselle","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",58,"Nièvre","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",59,"Nord","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",60,"Oise","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",61,"Orne","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",62,"Pas de Calais","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",63,"Puy de Dôme","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",64,"Pyrénées Atlantiques","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",65,"Hautes Pyrénées","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",66,"Pyrénées Orientales","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",67,"Bas Rhin","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",68,"Haut Rhin","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",69,"Rhône","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",70,"Haute Saône","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",71,"Saône et Loire","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",72,"Sarthe","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",73,"Savoie","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",74,"Haute savoie","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",75,"Ville de Paris","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",76,"Seine Maritime","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",77,"Seine et Marne","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",78,"Yvelines","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",79,"Deux Sèvres","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",80,"Somme","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",81,"Tarn","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",82,"Tarn et Garonne","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",83,"Var","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",84,"Vaucluse","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",85,"Vendée","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",86,"Vienne","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",87,"Haute Vienne","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",88,"Vosges","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",89,"Yonne","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",90,"Territoire de Belfort","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",91,"Essonne","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",92,"Hauts de Seine","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",93,"Seine Saint Denis","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",94,"Val de Marne","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",95,"Val d'Oise","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",96,"DOM/TOM","Categorical",1998
"ACTPROF","TERDEP","Localisation des terres exploitées par le ménage : département",99,"PAYS ETRANGER","Categorical",1998
"CYACT","AUTRAC1","Autre activité exercée après la 1ère période",1,"Oui","Categorical",1998
"CYACT","AUTRAC1","Autre activité exercée après la 1ère période",2,"Non","Categorical",1998
"CYACT","AUTRAC10","Autre activité exercée après la 10ème période",NA,"Sans objet","Categorical",1998
"CYACT","AUTRAC10","Autre activité exercée après la 10ème période",1,"Oui","Categorical",1998
"CYACT","AUTRAC10","Autre activité exercée après la 10ème période",2,"Non","Categorical",1998
"CYACT","AUTRAC11","Autre activité exercée après la 11ème période",NA,"Sans objet","Categorical",1998
"CYACT","AUTRAC11","Autre activité exercée après la 11ème période",1,"Oui","Categorical",1998
"CYACT","AUTRAC11","Autre activité exercée après la 11ème période",2,"Non","Categorical",1998
"CYACT","AUTRAC12","Autre activité exercée après la 12ème période",NA,"Sans objet","Categorical",1998
"CYACT","AUTRAC12","Autre activité exercée après la 12ème période",1,"Oui","Categorical",1998
"CYACT","AUTRAC12","Autre activité exercée après la 12ème période",2,"Non","Categorical",1998
"CYACT","AUTRAC13","Autre activité exercée après la 13ème période",NA,"Sans objet","Categorical",1998
"CYACT","AUTRAC13","Autre activité exercée après la 13ème période",1,"Oui","Categorical",1998
"CYACT","AUTRAC13","Autre activité exercée après la 13ème période",2,"Non","Categorical",1998
"CYACT","AUTRAC14","Autre activité exercée après la 14ème période",NA,"Sans objet","Categorical",1998
"CYACT","AUTRAC14","Autre activité exercée après la 14ème période",1,"Oui","Categorical",1998
"CYACT","AUTRAC14","Autre activité exercée après la 14ème période",2,"Non","Categorical",1998
"CYACT","AUTRAC15","Autre activité exercée après la 15ème période",NA,"Sans objet","Categorical",1998
"CYACT","AUTRAC15","Autre activité exercée après la 15ème période",1,"Oui","Categorical",1998
"CYACT","AUTRAC15","Autre activité exercée après la 15ème période",2,"Non","Categorical",1998
"CYACT","AUTRAC16","Autre activité exercée après la 16ème période",NA,"Sans objet","Categorical",1998
"CYACT","AUTRAC16","Autre activité exercée après la 16ème période",1,"Oui","Categorical",1998
"CYACT","AUTRAC16","Autre activité exercée après la 16ème période",2,"Non","Categorical",1998
"CYACT","AUTRAC17","Autre activité exercée après la 17ème période",NA,"Sans objet","Categorical",1998
"CYACT","AUTRAC17","Autre activité exercée après la 17ème période",1,"Oui","Categorical",1998
"CYACT","AUTRAC17","Autre activité exercée après la 17ème période",2,"Non","Categorical",1998
"CYACT","AUTRAC2","Autre activité exercée après la 2ème période",NA,"Sans objet","Categorical",1998
"CYACT","AUTRAC2","Autre activité exercée après la 2ème période",1,"Oui","Categorical",1998
"CYACT","AUTRAC2","Autre activité exercée après la 2ème période",2,"Non","Categorical",1998
"CYACT","AUTRAC3","Autre activité exercée après la 3ème période",NA,"Sans objet","Categorical",1998
"CYACT","AUTRAC3","Autre activité exercée après la 3ème période",1,"Oui","Categorical",1998
"CYACT","AUTRAC3","Autre activité exercée après la 3ème période",2,"Non","Categorical",1998
"CYACT","AUTRAC4","Autre activité exercée après la 4ème période",NA,"Sans objet","Categorical",1998
"CYACT","AUTRAC4","Autre activité exercée après la 4ème période",1,"Oui","Categorical",1998
"CYACT","AUTRAC4","Autre activité exercée après la 4ème période",2,"Non","Categorical",1998
"CYACT","AUTRAC5","Autre activité exercée après la 5ème période",NA,"Sans objet","Categorical",1998
"CYACT","AUTRAC5","Autre activité exercée après la 5ème période",1,"Oui","Categorical",1998
"CYACT","AUTRAC5","Autre activité exercée après la 5ème période",2,"Non","Categorical",1998
"CYACT","AUTRAC6","Autre activité exercée après la 6ème période",NA,"Sans objet","Categorical",1998
"CYACT","AUTRAC6","Autre activité exercée après la 6ème période",1,"Oui","Categorical",1998
"CYACT","AUTRAC6","Autre activité exercée après la 6ème période",2,"Non","Categorical",1998
"CYACT","AUTRAC7","Autre activité exercée après la 7ème période",NA,"Sans objet","Categorical",1998
"CYACT","AUTRAC7","Autre activité exercée après la 7ème période",1,"Oui","Categorical",1998
"CYACT","AUTRAC7","Autre activité exercée après la 7ème période",2,"Non","Categorical",1998
"CYACT","AUTRAC8","Autre activité exercée après la 8ème période",NA,"Sans objet","Categorical",1998
"CYACT","AUTRAC8","Autre activité exercée après la 8ème période",1,"Oui","Categorical",1998
"CYACT","AUTRAC8","Autre activité exercée après la 8ème période",2,"Non","Categorical",1998
"CYACT","AUTRAC9","Autre activité exercée après la 9ème période",NA,"Sans objet","Categorical",1998
"CYACT","AUTRAC9","Autre activité exercée après la 9ème période",1,"Oui","Categorical",1998
"CYACT","AUTRAC9","Autre activité exercée après la 9ème période",2,"Non","Categorical",1998
"CYACT","CAUSAC1","Raison de l'inactivité durant la 1ère période",NA,"Sans objet","Categorical",1998
"CYACT","CAUSAC1","Raison de l'inactivité durant la 1ère période",1,"Maladie","Categorical",1998
"CYACT","CAUSAC1","Raison de l'inactivité durant la 1ère période",2,"Education des enfants","Categorical",1998
"CYACT","CAUSAC1","Raison de l'inactivité durant la 1ère période",3,"Autres","Categorical",1998
"CYACT","CAUSAC10","Raison de l'inactivité durant la 10ème période",NA,"Sans objet","Categorical",1998
"CYACT","CAUSAC10","Raison de l'inactivité durant la 10ème période",1,"Maladie","Categorical",1998
"CYACT","CAUSAC10","Raison de l'inactivité durant la 10ème période",2,"Education des enfants","Categorical",1998
"CYACT","CAUSAC10","Raison de l'inactivité durant la 10ème période",3,"Autres","Categorical",1998
"CYACT","CAUSAC11","Raison de l'inactivité durant la 11ème période",NA,"Sans objet","Categorical",1998
"CYACT","CAUSAC11","Raison de l'inactivité durant la 11ème période",1,"Maladie","Categorical",1998
"CYACT","CAUSAC11","Raison de l'inactivité durant la 11ème période",2,"Education des enfants","Categorical",1998
"CYACT","CAUSAC11","Raison de l'inactivité durant la 11ème période",3,"Autres","Categorical",1998
"CYACT","CAUSAC12","Raison de l'inactivité durant la 12ème période",NA,"Sans objet","Categorical",1998
"CYACT","CAUSAC12","Raison de l'inactivité durant la 12ème période",1,"Maladie","Categorical",1998
"CYACT","CAUSAC12","Raison de l'inactivité durant la 12ème période",2,"Education des enfants","Categorical",1998
"CYACT","CAUSAC12","Raison de l'inactivité durant la 12ème période",3,"Autres","Categorical",1998
"CYACT","CAUSAC13","Raison de l'inactivité durant la 13ème période",NA,"Sans objet","Categorical",1998
"CYACT","CAUSAC13","Raison de l'inactivité durant la 13ème période",1,"Maladie","Categorical",1998
"CYACT","CAUSAC13","Raison de l'inactivité durant la 13ème période",2,"Education des enfants","Categorical",1998
"CYACT","CAUSAC13","Raison de l'inactivité durant la 13ème période",3,"Autres","Categorical",1998
"CYACT","CAUSAC14","Raison de l'inactivité durant la 14ème période",NA,"Sans objet","Categorical",1998
"CYACT","CAUSAC14","Raison de l'inactivité durant la 14ème période",1,"Maladie","Categorical",1998
"CYACT","CAUSAC14","Raison de l'inactivité durant la 14ème période",2,"Education des enfants","Categorical",1998
"CYACT","CAUSAC14","Raison de l'inactivité durant la 14ème période",3,"Autres","Categorical",1998
"CYACT","CAUSAC15","Raison de l'inactivité durant la 15ème période",NA,"Sans objet","Categorical",1998
"CYACT","CAUSAC15","Raison de l'inactivité durant la 15ème période",1,"Maladie","Categorical",1998
"CYACT","CAUSAC15","Raison de l'inactivité durant la 15ème période",2,"Education des enfants","Categorical",1998
"CYACT","CAUSAC15","Raison de l'inactivité durant la 15ème période",3,"Autres","Categorical",1998
"CYACT","CAUSAC16","Raison de l'inactivité durant la 16ème période",NA,"Sans objet","Categorical",1998
"CYACT","CAUSAC16","Raison de l'inactivité durant la 16ème période",1,"Maladie","Categorical",1998
"CYACT","CAUSAC16","Raison de l'inactivité durant la 16ème période",2,"Education des enfants","Categorical",1998
"CYACT","CAUSAC16","Raison de l'inactivité durant la 16ème période",3,"Autres","Categorical",1998
"CYACT","CAUSAC17","Raison de l'inactivité durant la 17ème période",NA,"Sans objet","Categorical",1998
"CYACT","CAUSAC17","Raison de l'inactivité durant la 17ème période",1,"Maladie","Categorical",1998
"CYACT","CAUSAC17","Raison de l'inactivité durant la 17ème période",2,"Education des enfants","Categorical",1998
"CYACT","CAUSAC17","Raison de l'inactivité durant la 17ème période",3,"Autres","Categorical",1998
"CYACT","CAUSAC2","Raison de l'inactivité durant la 2ème période",NA,"Sans objet","Categorical",1998
"CYACT","CAUSAC2","Raison de l'inactivité durant la 2ème période",1,"Maladie","Categorical",1998
"CYACT","CAUSAC2","Raison de l'inactivité durant la 2ème période",2,"Education des enfants","Categorical",1998
"CYACT","CAUSAC2","Raison de l'inactivité durant la 2ème période",3,"Autres","Categorical",1998
"CYACT","CAUSAC3","Raison de l'inactivité durant la 3ème période",NA,"Sans objet","Categorical",1998
"CYACT","CAUSAC3","Raison de l'inactivité durant la 3ème période",1,"Maladie","Categorical",1998
"CYACT","CAUSAC3","Raison de l'inactivité durant la 3ème période",2,"Education des enfants","Categorical",1998
"CYACT","CAUSAC3","Raison de l'inactivité durant la 3ème période",3,"Autres","Categorical",1998
"CYACT","CAUSAC4","Raison de l'inactivité durant la 4ème période",NA,"Sans objet","Categorical",1998
"CYACT","CAUSAC4","Raison de l'inactivité durant la 4ème période",1,"Maladie","Categorical",1998
"CYACT","CAUSAC4","Raison de l'inactivité durant la 4ème période",2,"Education des enfants","Categorical",1998
"CYACT","CAUSAC4","Raison de l'inactivité durant la 4ème période",3,"Autres","Categorical",1998
"CYACT","CAUSAC5","Raison de l'inactivité durant la 5ème période",NA,"Sans objet","Categorical",1998
"CYACT","CAUSAC5","Raison de l'inactivité durant la 5ème période",1,"Maladie","Categorical",1998
"CYACT","CAUSAC5","Raison de l'inactivité durant la 5ème période",2,"Education des enfants","Categorical",1998
"CYACT","CAUSAC5","Raison de l'inactivité durant la 5ème période",3,"Autres","Categorical",1998
"CYACT","CAUSAC6","Raison de l'inactivité durant la 6ème période",NA,"Sans objet","Categorical",1998
"CYACT","CAUSAC6","Raison de l'inactivité durant la 6ème période",1,"Maladie","Categorical",1998
"CYACT","CAUSAC6","Raison de l'inactivité durant la 6ème période",2,"Education des enfants","Categorical",1998
"CYACT","CAUSAC6","Raison de l'inactivité durant la 6ème période",3,"Autres","Categorical",1998
"CYACT","CAUSAC7","Raison de l'inactivité durant la 7ème période",NA,"Sans objet","Categorical",1998
"CYACT","CAUSAC7","Raison de l'inactivité durant la 7ème période",1,"Maladie","Categorical",1998
"CYACT","CAUSAC7","Raison de l'inactivité durant la 7ème période",2,"Education des enfants","Categorical",1998
"CYACT","CAUSAC7","Raison de l'inactivité durant la 7ème période",3,"Autres","Categorical",1998
"CYACT","CAUSAC8","Raison de l'inactivité durant la 8ème période",NA,"Sans objet","Categorical",1998
"CYACT","CAUSAC8","Raison de l'inactivité durant la 8ème période",1,"Maladie","Categorical",1998
"CYACT","CAUSAC8","Raison de l'inactivité durant la 8ème période",2,"Education des enfants","Categorical",1998
"CYACT","CAUSAC8","Raison de l'inactivité durant la 8ème période",3,"Autres","Categorical",1998
"CYACT","CAUSAC9","Raison de l'inactivité durant la 9ème période",NA,"Sans objet","Categorical",1998
"CYACT","CAUSAC9","Raison de l'inactivité durant la 9ème période",1,"Maladie","Categorical",1998
"CYACT","CAUSAC9","Raison de l'inactivité durant la 9ème période",2,"Education des enfants","Categorical",1998
"CYACT","CAUSAC9","Raison de l'inactivité durant la 9ème période",3,"Autres","Categorical",1998
"CYACT","CYAR1","Accord sur le nombre d'années d'exercice d'une activité professionnelle",1,"Oui","Categorical",1998
"CYACT","CYAR1","Accord sur le nombre d'années d'exercice d'une activité professionnelle",2,"Non","Categorical",1998
"CYACT","CYAR2","Interruptions de moins d'un an durant les périodes d'activité (pour maladie ou de courte période de chômage)",1,"Aucune","Categorical",1998
"CYACT","CYAR2","Interruptions de moins d'un an durant les périodes d'activité (pour maladie ou de courte période de chômage)",2,"Rarement","Categorical",1998
"CYACT","CYAR2","Interruptions de moins d'un an durant les périodes d'activité (pour maladie ou de courte période de chômage)",3,"Fréquemment","Categorical",1998
"CYACT","CYAR3A","Nombre d'années travaillées dans l'entreprise actuelle",NA,NA,"Numerical",1998
"CYACT","CYAR3B","Nombre d'années travaillées dans la dernière entreprise",NA,NA,"Numerical",1998
"CYACT","CYAR4","Travail à temps partiel durant les périodes d'activité",NA,NA,"Numerical",1998
"CYACT","CYAR41","Nombre d'années de travail à temps partiel",NA,NA,"Numerical",1998
"CYACT","CYAR42","Taux de temps partiel",1,"50 % ou moins","Categorical",1998
"CYACT","CYAR42","Taux de temps partiel",2,"De plus de 50 % à moins 80 %","Categorical",1998
"CYACT","CYAR42","Taux de temps partiel",3,"80 % et plus","Categorical",1998
"CYACT","CYAR5","Appréciation personnelle du déroulement de carrière",1,"Plutôt meilleure que les gens qui ont la même formation que lui (elle)","Categorical",1998
"CYACT","CYAR5","Appréciation personnelle du déroulement de carrière",2,"Equivalente","Categorical",1998
"CYACT","CYAR5","Appréciation personnelle du déroulement de carrière",3,"Plutôt moins bonne","Categorical",1998
