"","table.x","first_id","desc","category","label","format","year","ISCED_number","ISCED_label","ISCED_desc"
"1233","INDIVIDU","DIES","Diplôme le plus élévé obtenu en enseignement supérieur (y compris technique supérieur) (Carte B-7 du cahier des cartes)",45,"Certificat d'aptitude pédagogique, certificat de fin d'études normales (CFEN)","Categorical",1998,"650","Bachelor’s or equivalent level, Professional, Not further defined",NA
"1234","INDIVIDU","DIES","Diplôme le plus élévé obtenu en enseignement supérieur (y compris technique supérieur) (Carte B-7 du cahier des cartes)",46,"Diplôme universitaire du 2ème cycle (licence, maîtrise, IUFM)","Categorical",1998,"640","Bachelor’s or equivalent level, Academic, Not further defined",NA
"1235","INDIVIDU","DIES","Diplôme le plus élévé obtenu en enseignement supérieur (y compris technique supérieur) (Carte B-7 du cahier des cartes)",47,"Diplôme universitaire du 3ème cycle (DES, DEA, doctorat, y compris doctorat en médecine, diplôme de chirurgien-dentiste , CAPES, CAPET, agrégation)","Categorical",1998,"740, 750, 840","Master’s or equivalent level, Academic, Not further defined., Master’s or equivalent level, Professional, Not further defined., Doctoral or equivalent level, Academic, Not further defined",NA
"1236","INDIVIDU","DIES","Diplôme le plus élévé obtenu en enseignement supérieur (y compris technique supérieur) (Carte B-7 du cahier des cartes)",48,"Diplôme d'une grande école ou d'une école d'ingénieur (non citée ci dessous)","Categorical",1998,"750","Master’s or equivalent level, Professional, Not further defined",NA
"1237","INDIVIDU","DIES","Diplôme le plus élévé obtenu en enseignement supérieur (y compris technique supérieur) (Carte B-7 du cahier des cartes)",49,"Diplôme de l'une des grandes écoles suivantes : Centrale, Ecole de l'Air, Ecole de la magistrature, ESSEC, ENA, ENGREF, ENSAE, Génie maritime, HEC, INA (""Agro""),","Categorical",1998,"750","Master’s or equivalent level, Professional, Not further defined",NA
"1907","MENAGE","DIEGCJ","Diplôme le plus élévé obtenu en enseignement général (primaire ou secondaire) par le conjoint",2,"Certificat d'Etudes primaires (CEP), diplôme de fin d'études obligatoires (DFEO)","Categorical",1998,"100","Primary education, including recognised successful completion of a lower secondary programme insufficient for level completion or partial level completion",NA
"1908","MENAGE","DIEGCJ","Diplôme le plus élévé obtenu en enseignement général (primaire ou secondaire) par le conjoint",15,"Brevet d'études du 1er cycle (BEPC), brevet des collèges","Categorical",1998,"244","Lower secondary education, General, Level completion, with direct access to upper secondary education",NA
"1909","MENAGE","DIEGCJ","Diplôme le plus élévé obtenu en enseignement général (primaire ou secondaire) par le conjoint",16,"Baccalauréat 1ère partie ou probatoire, certificat de fin d'études secondaires (CFES)","Categorical",1998,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"1910","MENAGE","DIEGCJ","Diplôme le plus élévé obtenu en enseignement général (primaire ou secondaire) par le conjoint",17,"Baccalauréat nouvelles séries L, ES, S, baccalauréat séries A à E ou baccalauréat 2ème partie","Categorical",1998,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"1911","MENAGE","DIEGCJ","Diplôme le plus élévé obtenu en enseignement général (primaire ou secondaire) par le conjoint",18,"Brevet élémentaire (BE), brevet d'enseignement primaire supérieur (BEPS)","Categorical",1998,"343","Upper secondary education, General, Level completion, without direct access to tertiary education",NA
"1912","MENAGE","DIEGCJ","Diplôme le plus élévé obtenu en enseignement général (primaire ou secondaire) par le conjoint",19,"Brevet supérieur (BS)","Categorical",1998,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"1914","MENAGE","DIEGPR","Diplôme le plus élévé obtenu en enseignement général (primaire ou secondaire) par la personne de référence",2,"Certificat d'Etudes primaires (CEP), diplôme de fin d'études obligatoires (DFEO)","Categorical",1998,"100","Primary education, including recognised successful completion of a lower secondary programme insufficient for level completion or partial level completion",NA
"1915","MENAGE","DIEGPR","Diplôme le plus élévé obtenu en enseignement général (primaire ou secondaire) par la personne de référence",15,"Brevet d'études du 1er cycle (BEPC), brevet des collèges","Categorical",1998,"244","Lower secondary education, General, Level completion, with direct access to upper secondary education",NA
"1916","MENAGE","DIEGPR","Diplôme le plus élévé obtenu en enseignement général (primaire ou secondaire) par la personne de référence",16,"Baccalauréat 1ère partie ou probatoire, certificat de fin d'études secondaires (CFES)","Categorical",1998,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"1917","MENAGE","DIEGPR","Diplôme le plus élévé obtenu en enseignement général (primaire ou secondaire) par la personne de référence",17,"Baccalauréat nouvelles séries L, ES, S, baccalauréat séries A à E ou baccalauréat 2ème partie","Categorical",1998,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"1918","MENAGE","DIEGPR","Diplôme le plus élévé obtenu en enseignement général (primaire ou secondaire) par la personne de référence",18,"Brevet élémentaire (BE), brevet d'enseignement primaire supérieur (BEPS)","Categorical",1998,"343","Upper secondary education, General, Level completion, without direct access to tertiary education",NA
"1919","MENAGE","DIEGPR","Diplôme le plus élévé obtenu en enseignement général (primaire ou secondaire) par la personne de référence",19,"Brevet supérieur (BS)","Categorical",1998,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"1921","MENAGE","DIEPCJ","Diplôme le plus élévé obtenu en enseignement technique ou professionnel par le conjoint",21,"Certificat d'éducation professionnelle","Categorical",1998,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"1922","MENAGE","DIEPCJ","Diplôme le plus élévé obtenu en enseignement technique ou professionnel par le conjoint",23,"CAP (ou CAPA), ou BEP (ou BEPA), obtenu par l'apprentissage effectué en relation avec un CFA, examen de fin d'apprentissage artisanal (EFAA)","Categorical",1998,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"1923","MENAGE","DIEPCJ","Diplôme le plus élévé obtenu en enseignement technique ou professionnel par le conjoint",25,"CAP (ou CAPA), obtenu en dehors de l'apprentissage","Categorical",1998,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"1924","MENAGE","DIEPCJ","Diplôme le plus élévé obtenu en enseignement technique ou professionnel par le conjoint",27,"BEP (ou BEPA), obtenu en dehors de l'apprentissage","Categorical",1998,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"1925","MENAGE","DIEPCJ","Diplôme le plus élévé obtenu en enseignement technique ou professionnel par le conjoint",29,"Autres diplômes de niveau CAP ou BEP","Categorical",1998,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"1926","MENAGE","DIEPCJ","Diplôme le plus élévé obtenu en enseignement technique ou professionnel par le conjoint",32,"Brevet de technicien (BT ou BTA) ou baccalauréat de technicien (STI, STL, SMS, STT ou F, G, H)","Categorical",1998,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"1927","MENAGE","DIEPCJ","Diplôme le plus élévé obtenu en enseignement technique ou professionnel par le conjoint",34,"Baccalauréat professionnel","Categorical",1998,"354","Upper secondary education, Vocational, Level completion, with direct access to tertiary education",NA
"1928","MENAGE","DIEPCJ","Diplôme le plus élévé obtenu en enseignement technique ou professionnel par le conjoint",36,"Autre diplôme de niveau du baccalauréat de technicien","Categorical",1998,"344, 354","Upper secondary education, General, Level completion, with direct access to tertiary education., Upper secondary education, Vocational, Level completion, with direct access to tertiary education",NA
"1929","MENAGE","DIEPCJ","Diplôme le plus élévé obtenu en enseignement technique ou professionnel par le conjoint",39,"Brevet d'enseignement agricole (BEA), commercial (BEC), hôtelier (BEH), industriel (BEI), social (BES), brevet d'agent technique agricole.","Categorical",1998,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"1931","MENAGE","DIEPPR","Diplôme le plus élévé obtenu en enseignement technique ou professionnel par la personne de référence",21,"Certificat d'éducation professionnelle","Categorical",1998,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"1932","MENAGE","DIEPPR","Diplôme le plus élévé obtenu en enseignement technique ou professionnel par la personne de référence",23,"CAP (ou CAPA), ou BEP (ou BEPA), obtenu par l'apprentissage effectué en relation avec un CFA, examen de fin d'apprentissage artisanal (EFAA)","Categorical",1998,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"1933","MENAGE","DIEPPR","Diplôme le plus élévé obtenu en enseignement technique ou professionnel par la personne de référence",25,"CAP (ou CAPA), obtenu en dehors de l'apprentissage","Categorical",1998,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"1934","MENAGE","DIEPPR","Diplôme le plus élévé obtenu en enseignement technique ou professionnel par la personne de référence",27,"BEP (ou BEPA), obtenu en dehors de l'apprentissage","Categorical",1998,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"1935","MENAGE","DIEPPR","Diplôme le plus élévé obtenu en enseignement technique ou professionnel par la personne de référence",29,"Autres diplômes de niveau CAP ou BEP","Categorical",1998,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"1936","MENAGE","DIEPPR","Diplôme le plus élévé obtenu en enseignement technique ou professionnel par la personne de référence",32,"Brevet de technicien (BT ou BTA) ou baccalauréat de technicien (STI, STL, SMS, STT ou F, G, H)","Categorical",1998,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"1937","MENAGE","DIEPPR","Diplôme le plus élévé obtenu en enseignement technique ou professionnel par la personne de référence",34,"Baccalauréat professionnel","Categorical",1998,"354","Upper secondary education, Vocational, Level completion, with direct access to tertiary education",NA
"1938","MENAGE","DIEPPR","Diplôme le plus élévé obtenu en enseignement technique ou professionnel par la personne de référence",36,"Autre diplôme de niveau du baccalauréat de technicien","Categorical",1998,"344, 354","Upper secondary education, General, Level completion, with direct access to tertiary education., Upper secondary education, Vocational, Level completion, with direct access to tertiary education",NA
"1939","MENAGE","DIEPPR","Diplôme le plus élévé obtenu en enseignement technique ou professionnel par la personne de référence",39,"Brevet d'enseignement agricole (BEA), commercial (BEC), hôtelier (BEH), industriel (BEI), social (BES), brevet d'agent technique agricole.","Categorical",1998,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"1941","MENAGE","DIESCJ","Diplôme le plus élévé obtenu en enseignement supérieur (y compris technique supérieur) par le conjoint",41,"Diplôme universitaire du 1er cycle (sauf DUT) : propédeutique, DUEL, DUES, DEUG, PCEM...","Categorical",1998,"540","Short-cycle tertiary education, General, Not further defined",NA
"1942","MENAGE","DIESCJ","Diplôme le plus élévé obtenu en enseignement supérieur (y compris technique supérieur) par le conjoint",42,"DUT (Diplôme universitaire de technologie), BTS (brevet de technicien supérieur)","Categorical",1998,"550","Short-cycle tertiary education, Vocational, Not further defined",NA
"1943","MENAGE","DIESCJ","Diplôme le plus élévé obtenu en enseignement supérieur (y compris technique supérieur) par le conjoint",43,"Diplôme de niveau de technicien supérieur (sauf DUT ou BTS) d'une école juridique, commerciale, d'arts appliqués","Categorical",1998,"550","Short-cycle tertiary education, Vocational, Not further defined",NA
"1944","MENAGE","DIESCJ","Diplôme le plus élévé obtenu en enseignement supérieur (y compris technique supérieur) par le conjoint",44,"Diplôme des professions de la santé (hors celle de médecin) et des professions sociales","Categorical",1998,"550","Short-cycle tertiary education, Vocational, Not further defined",NA
"1945","MENAGE","DIESCJ","Diplôme le plus élévé obtenu en enseignement supérieur (y compris technique supérieur) par le conjoint",45,"Certificat d'aptitude pédagogique, certificat de fin d'études normales (CFEN)","Categorical",1998,"650","Bachelor’s or equivalent level, Professional, Not further defined",NA
"1946","MENAGE","DIESCJ","Diplôme le plus élévé obtenu en enseignement supérieur (y compris technique supérieur) par le conjoint",46,"Diplôme universitaire du 2ème cycle (licence, maîtrise, IUFM)","Categorical",1998,"640","Bachelor’s or equivalent level, Academic, Not further defined",NA
"1947","MENAGE","DIESCJ","Diplôme le plus élévé obtenu en enseignement supérieur (y compris technique supérieur) par le conjoint",47,"Diplôme universitaire du 3ème cycle (DES, DEA, doctorat, y compris doctorat en médecine, diplôme de chirurgien-dentiste , CAPES, CAPET, agrégation)","Categorical",1998,"740, 750, 840","Master’s or equivalent level, Academic, Not further defined., Master’s or equivalent level, Professional, Not further defined., Doctoral or equivalent level, Academic, Not further defined",NA
"1948","MENAGE","DIESCJ","Diplôme le plus élévé obtenu en enseignement supérieur (y compris technique supérieur) par le conjoint",48,"Diplôme d'une grande école ou d'une école d'ingénieur (non citée ci dessous)","Categorical",1998,"750","Master’s or equivalent level, Professional, Not further defined",NA
"1949","MENAGE","DIESCJ","Diplôme le plus élévé obtenu en enseignement supérieur (y compris technique supérieur) par le conjoint",49,"Diplôme de l'une des grandes écoles suivantes : Centrale, Ecole de l'Air, Ecole de la magistrature, ESSEC, ENA, ENGREF, ENSAE, Génie maritime, HEC, INA (""Agro""),","Categorical",1998,"750","Master’s or equivalent level, Professional, Not further defined",NA
"1951","MENAGE","DIESPR","Diplôme le plus élévé obtenu en enseignement supérieur (y compris technique supérieur) par la personne de référence",41,"Diplôme universitaire du 1er cycle (sauf DUT) : propédeutique, DUEL, DUES, DEUG, PCEM...","Categorical",1998,"540","Short-cycle tertiary education, General, Not further defined",NA
"1952","MENAGE","DIESPR","Diplôme le plus élévé obtenu en enseignement supérieur (y compris technique supérieur) par la personne de référence",42,"DUT (Diplôme universitaire de technologie), BTS (brevet de technicien supérieur)","Categorical",1998,"550","Short-cycle tertiary education, Vocational, Not further defined",NA
"1953","MENAGE","DIESPR","Diplôme le plus élévé obtenu en enseignement supérieur (y compris technique supérieur) par la personne de référence",43,"Diplôme de niveau de technicien supérieur (sauf DUT ou BTS) d'une école juridique, commerciale, d'arts appliqués","Categorical",1998,"550","Short-cycle tertiary education, Vocational, Not further defined",NA
"1954","MENAGE","DIESPR","Diplôme le plus élévé obtenu en enseignement supérieur (y compris technique supérieur) par la personne de référence",44,"Diplôme des professions de la santé (hors celle de médecin) et des professions sociales","Categorical",1998,"550","Short-cycle tertiary education, Vocational, Not further defined",NA
"1955","MENAGE","DIESPR","Diplôme le plus élévé obtenu en enseignement supérieur (y compris technique supérieur) par la personne de référence",45,"Certificat d'aptitude pédagogique, certificat de fin d'études normales (CFEN)","Categorical",1998,"650","Bachelor’s or equivalent level, Professional, Not further defined",NA
"1956","MENAGE","DIESPR","Diplôme le plus élévé obtenu en enseignement supérieur (y compris technique supérieur) par la personne de référence",46,"Diplôme universitaire du 2ème cycle (licence, maîtrise, IUFM)","Categorical",1998,"640","Bachelor’s or equivalent level, Academic, Not further defined",NA
"1957","MENAGE","DIESPR","Diplôme le plus élévé obtenu en enseignement supérieur (y compris technique supérieur) par la personne de référence",47,"Diplôme universitaire du 3ème cycle (DES, DEA, doctorat, y compris doctorat en médecine, diplôme de chirurgien-dentiste , CAPES, CAPET, agrégation)","Categorical",1998,"740, 750, 840","Master’s or equivalent level, Academic, Not further defined., Master’s or equivalent level, Professional, Not further defined., Doctoral or equivalent level, Academic, Not further defined",NA
"1958","MENAGE","DIESPR","Diplôme le plus élévé obtenu en enseignement supérieur (y compris technique supérieur) par la personne de référence",48,"Diplôme d'une grande école ou d'une école d'ingénieur (non citée ci dessous)","Categorical",1998,"750","Master’s or equivalent level, Professional, Not further defined",NA
"1959","MENAGE","DIESPR","Diplôme le plus élévé obtenu en enseignement supérieur (y compris technique supérieur) par la personne de référence",49,"Diplôme de l'une des grandes écoles suivantes : Centrale, Ecole de l'Air, Ecole de la magistrature, ESSEC, ENA, ENGREF, ENSAE, Génie maritime, HEC, INA (""Agro""),","Categorical",1998,"750","Master’s or equivalent level, Professional, Not further defined",NA
"2052","MENAGE","DIPLOCJ","Diplôme du conjoint",1,"CEP, DFEO","Categorical",1998,"100","Primary education, including recognised successful completion of a lower secondary programme insufficient for level completion or partial level completion",NA
"2053","MENAGE","DIPLOCJ","Diplôme du conjoint",2,"CAP, BEP","Categorical",1998,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"2054","MENAGE","DIPLOCJ","Diplôme du conjoint",3,"BEPC","Categorical",1998,"244","Lower secondary education, General, Level completion, with direct access to upper secondary education",NA
"2055","MENAGE","DIPLOCJ","Diplôme du conjoint",4,"Bac technique","Categorical",1998,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"2056","MENAGE","DIPLOCJ","Diplôme du conjoint",5,"Bac général","Categorical",1998,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"2057","MENAGE","DIPLOCJ","Diplôme du conjoint",6,"1er et 2ème cycle université, DUT, BTS","Categorical",1998,"540, 550, 640","Short-cycle tertiary education, General, Not further defined., Short-cycle tertiary education, Vocational, Not further defined., Bachelor’s or equivalent level, Academic, Not further defined",NA
"2058","MENAGE","DIPLOCJ","Diplôme du conjoint",7,"3ème cycle, grandes écoles","Categorical",1998,"740, 750, 840","Master’s or equivalent level, Academic, Not further defined., Master’s or equivalent level, Professional, Not further defined., Doctoral or equivalent level, Academic, Not further defined",NA
"2060","MENAGE","DIPLOPR","Diplôme de la personne de référence",1,"CEP, DFEO","Categorical",1998,"100","Primary education, including recognised successful completion of a lower secondary programme insufficient for level completion or partial level completion",NA
"2061","MENAGE","DIPLOPR","Diplôme de la personne de référence",2,"CAP, BEP","Categorical",1998,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"2062","MENAGE","DIPLOPR","Diplôme de la personne de référence",3,"BEPC","Categorical",1998,"244","Lower secondary education, General, Level completion, with direct access to upper secondary education",NA
"2063","MENAGE","DIPLOPR","Diplôme de la personne de référence",4,"Bac technique","Categorical",1998,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"2064","MENAGE","DIPLOPR","Diplôme de la personne de référence",5,"Bac général","Categorical",1998,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"2065","MENAGE","DIPLOPR","Diplôme de la personne de référence",6,"1er et 2ème cycle université, DUT, BTS","Categorical",1998,"540, 550, 640","Short-cycle tertiary education, General, Not further defined., Short-cycle tertiary education, Vocational, Not further defined., Bachelor’s or equivalent level, Academic, Not further defined",NA
"2066","MENAGE","DIPLOPR","Diplôme de la personne de référence",7,"3ème cycle, grandes écoles","Categorical",1998,"740, 750, 840","Master’s or equivalent level, Academic, Not further defined., Master’s or equivalent level, Professional, Not further defined., Doctoral or equivalent level, Academic, Not further defined",NA
"5047","INDIVIDU","DIEG","Diplôme le plus élevé obtenu en enseignement général",2,"Certificat d'Etudes primaires (CEP), diplôme de fin d'études obligatoires (DFEO)","Categorical",2004,"100","Primary education, including recognised successful completion of a lower secondary programme insufficient for level completion or partial level completion",NA
"5048","INDIVIDU","DIEG","Diplôme le plus élevé obtenu en enseignement général",15,"Brevet d'études du 1er cycle (BEPC), brevet des collèges","Categorical",2004,"244","Lower secondary education, General, Level completion, with direct access to upper secondary education",NA
"5049","INDIVIDU","DIEG","Diplôme le plus élevé obtenu en enseignement général",16,"Baccalauréat 1ère partie ou probatoire, certificat de fin d'études secondaires (CFES)","Categorical",2004,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"5050","INDIVIDU","DIEG","Diplôme le plus élevé obtenu en enseignement général",17,"Baccalauréat nouvelles séries L, ES, S, baccalauréat séries A à E ou baccalauréat 2ème partie","Categorical",2004,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"5051","INDIVIDU","DIEG","Diplôme le plus élevé obtenu en enseignement général",18,"Brevet élémentaire (BE), brevet d'enseignement primaire supérieur (BEPS)","Categorical",2004,"343","Upper secondary education, General, Level completion, without direct access to tertiary education",NA
"5052","INDIVIDU","DIEG","Diplôme le plus élevé obtenu en enseignement général",19,"Brevet supérieur (BS)","Categorical",2004,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"5054","INDIVIDU","DIEP","Diplôme le plus élevé obtenu en enseignement technique ou professionnel",21,"Certificat d'éducation professionnelle","Categorical",2004,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"5055","INDIVIDU","DIEP","Diplôme le plus élevé obtenu en enseignement technique ou professionnel",23,"CAP (ou CAPA), ou BEP (ou BEPA), obtenu par l'apprentissage effectué en relation avec un CFA,","Categorical",2004,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"5056","INDIVIDU","DIEP","Diplôme le plus élevé obtenu en enseignement technique ou professionnel",23,"CAP (ou CAPA), ou BEP (ou BEPA), obtenu par l'apprentissage effectué en relation avec un CFA, examen de fin d'apprentissage artisanal (EFAA)","Categorical",2004,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"5057","INDIVIDU","DIEP","Diplôme le plus élevé obtenu en enseignement technique ou professionnel",25,"CAP (ou CAPA), obtenu en dehors de l'apprentissage","Categorical",2004,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"5058","INDIVIDU","DIEP","Diplôme le plus élevé obtenu en enseignement technique ou professionnel",27,"BEP (ou BEPA), obtenu en dehors de l'apprentissage","Categorical",2004,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"5059","INDIVIDU","DIEP","Diplôme le plus élevé obtenu en enseignement technique ou professionnel",29,"Autres diplômes de niveau CAP ou BEP","Categorical",2004,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"5060","INDIVIDU","DIEP","Diplôme le plus élevé obtenu en enseignement technique ou professionnel",32,"Brevet de technicien (BT ou BTA) ou baccalauréat de technicien (STI, STL, SMS, STT ou F, G, H)","Categorical",2004,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"5061","INDIVIDU","DIEP","Diplôme le plus élevé obtenu en enseignement technique ou professionnel",34,"Baccalauréat professionnel","Categorical",2004,"354","Upper secondary education, Vocational, Level completion, with direct access to tertiary education",NA
"5062","INDIVIDU","DIEP","Diplôme le plus élevé obtenu en enseignement technique ou professionnel",36,"Autre diplôme de niveau du baccalauréat de technicien","Categorical",2004,"344, 354","Upper secondary education, General, Level completion, with direct access to tertiary education., Upper secondary education, Vocational, Level completion, with direct access to tertiary education",NA
